2020-06-24 16:26:31.723 DEBUG 18960 --- [           main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: unknown
2020-06-24 16:26:31.922  INFO 18960 --- [           main] c.chicken.review.ReviewApplicationTests  : Starting ReviewApplicationTests on DESKTOP-OJR6PMG with PID 18960 (started by kobv4 in Z:\eclipse\review)
2020-06-24 16:26:31.923 DEBUG 18960 --- [           main] c.chicken.review.ReviewApplicationTests  : Running with Spring Boot v2.1.9.RELEASE, Spring v5.1.10.RELEASE
2020-06-24 16:26:31.925  INFO 18960 --- [           main] c.chicken.review.ReviewApplicationTests  : No active profile set, falling back to default profiles: default
2020-06-24 16:26:31.928 DEBUG 18960 --- [           main] o.s.boot.SpringApplication               : Loading source class com.chicken.review.ReviewApplication
2020-06-24 16:26:31.981 DEBUG 18960 --- [           main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/Z:/eclipse/review/target/classes/application.properties' (classpath:/application.properties)
2020-06-24 16:26:31.982 DEBUG 18960 --- [           main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@565b064f
2020-06-24 16:26:32.033 DEBUG 18960 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2020-06-24 16:26:32.067 DEBUG 18960 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2020-06-24 16:26:32.352 DEBUG 18960 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [Z:\eclipse\review\target\classes\com\chicken\review\config\ErrorConfiguration.class]
2020-06-24 16:26:32.361 DEBUG 18960 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [Z:\eclipse\review\target\classes\com\chicken\review\config\StaticResourceConfiguration.class]
2020-06-24 16:26:32.380 DEBUG 18960 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [Z:\eclipse\review\target\classes\com\chicken\review\config\TilesConfig.class]
2020-06-24 16:26:32.415 DEBUG 18960 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [Z:\eclipse\review\target\classes\com\chicken\review\config\WebSecurityConfig.class]
2020-06-24 16:26:32.434 DEBUG 18960 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [Z:\eclipse\review\target\classes\com\chicken\review\login\controller\UserController.class]
2020-06-24 16:26:32.795 DEBUG 18960 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.messages.basename' in PropertySource 'configurationProperties' with value of type String
2020-06-24 16:26:32.910 DEBUG 18960 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.prefix' in PropertySource 'configurationProperties' with value of type String
2020-06-24 16:26:32.912 DEBUG 18960 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.suffix' in PropertySource 'configurationProperties' with value of type String
2020-06-24 16:26:32.968 DEBUG 18960 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.resources.chain.enabled' in PropertySource 'configurationProperties' with value of type String
2020-06-24 16:26:33.022 DEBUG 18960 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
